article_id,source_article_id,title,company_name_raw,company_name_resolved,company_id,published_date,published_year,published_quarter,published_month,category_raw,category_standardized,revenue_raw,revenue_currency,revenue_is_range,arr_usd,arr_parse_status,summary,url,author,word_count,industry,founded_year,headquarters,employee_count,is_public,stock_ticker,company_age,company_size_category
ART-EE504E33AC7AF638,ART0011,OpenAI Faces Regulatory Scrutiny,OpenAI,OpenAI,COMP-A19EE5A9FDC19109,2021-10-25,2021,4,10,AI/ML,AI_ML,$320.0M,USD,False,320000000.0,valid,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/11,John Smith,,Data Analytics,2006,"Austin, TX",12793,False,OPEN,15,Medium
ART-71EFBC734138531A,ART0012,Cloudflare Raises Series D Funding Round,Cloudflare,Cloudflare,COMP-A5B966CDCB605CA4,2022-12-26,2022,4,12,Cloud Computing,CLOUD_COMPUTING,,,False,,invalid_missing,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/12,,1776.0,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,24,Small
ART-5FA61EF948F5178C,ART0013,Uber Achieves Profitability Milestone,Uber,Uber,COMP-F1905B7E8DD98927,2023-08-23,2023,3,8,Security,CYBERSECURITY,$32.000B,USD,False,32000000000.0,valid,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/13,John Smith,1442.0,FinTech,2015,"San Francisco, CA",10144,False,UBER,8,Medium
ART-97A42B9C8CF5FBEB,ART0014,Confluent Reports Record Revenue Growth,Confluent,Confluent,COMP-65AAA4A1B46C7F71,2020-01-15,2020,1,1,Artificial Intelligence,AI_ML,$260.0M,USD,False,260000000.0,valid,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/14,Jane Doe,2488.0,Cloud Computing,1995,"London, UK",3884,False,,25,Small
ART-1A35036FEEB1FBFF,ART0015,Tesla Releases Open Source Framework,Tesla,Tesla,COMP-EFD12553D6A4F7E5,2020-09-27,2020,3,9,Enterprise Software,SOFTWARE,$25.200B,USD,False,25200000000.0,valid,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/15,Sam Wilson,2183.0,Cloud Computing,2008,"London, UK",5691,True,,12,Small
ART-7E7598A4E3DFA1BD,ART0016,Palantir Unveils Next-Generation Platform,Palantir,Palantir,COMP-54AADC94970AD31E,2020-04-20,2020,2,4,AI & ML,AI_ML,$1.030B,USD,False,1030000000.0,valid,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/16,Jane Doe,1074.0,Cloud Computing,2005,"Berlin, Germany",42306,True,,15,Large
ART-354E9590F0C19FDD,ART0017,SpaceX Launches New AI-Powered Product,SpaceX,SpaceX,COMP-F4E821747C88DE40,2021-07-24,2021,3,7,FinTech,FINTECH,$3.900B,USD,False,3900000000.0,valid,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/17,Jane Doe,2471.0,AI/ML,2016,"Berlin, Germany",31018,False,,5,Large
ART-2BA067402B955156,ART0018,Tesla CEO Discusses Future of AI,Tesla,Tesla,COMP-EFD12553D6A4F7E5,2020-04-30,2020,2,4,Big Data,DATA_ANALYTICS,,,False,,invalid_missing,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/18,Jane Doe,739.0,Cloud Computing,2008,"London, UK",5691,True,,12,Small
ART-9603F85684C0A9D4,ART0019,Confluent Unveils Next-Generation Platform,Confluent,Confluent,COMP-65AAA4A1B46C7F71,2023-01-15,2023,1,1,Data Analytics,DATA_ANALYTICS,"$790,000,000",USD,False,790000000.0,valid,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/19,John Smith,780.0,Cloud Computing,1995,"London, UK",3884,False,,28,Small
ART-59BB3954D7E55130,ART0020,DataRobot Raises Series D Funding Round,DataRobot,DataRobot,COMP-7AD8A9012E991995,2023-10-14,2023,4,10,Big Data,DATA_ANALYTICS,"£299,212,598",GBP,False,379999999.0,valid,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/20,,1795.0,Cloud Computing,2012,"New York, NY",23471,True,,11,Medium
ART-16EE61869A1C96D0,ART0021,Databricks Reports Record Revenue Growth,Databricks,Databricks,COMP-2D3DAD417C3B2CB2,2023-10-03,2023,4,10,Data Analytics,DATA_ANALYTICS,"¥360,000,000,000",JPY,False,2400000000.0,valid,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/21,John Smith,,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,20,Medium
ART-510C7E230DF2DD87,ART0022,DataRobot Faces Regulatory Scrutiny,DataRobot,DataRobot,COMP-7AD8A9012E991995,2020-07-23,2020,3,7,Software,SOFTWARE,$170.0M,USD,False,170000000.0,valid,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/22,Alex Johnson,2294.0,Cloud Computing,2012,"New York, NY",23471,True,,8,Medium
ART-6E0864373C57121C,ART0023,Elastic Unveils Next-Generation Platform,Elastic,Elastic,COMP-296ABB15D702EA5D,2021-09-11,2021,3,9,SaaS,SOFTWARE,$0.930 billion,USD,False,930000000.0,valid,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/23,John Smith,1136.0,Cybersecurity,2016,"San Francisco, CA",24508,True,ELAS,5,Medium
ART-88EE79F1CADF39BE,ART0024,Databricks Expands into European Market,Databricks,Databricks,COMP-2D3DAD417C3B2CB2,2023-05-23,2023,2,5,Data Analytics,DATA_ANALYTICS,$2.150B,USD,False,2150000000.0,valid,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/24,Sam Wilson,680.0,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,20,Medium
ART-908B48A1A6E80E3D,ART0025,OpenAI Acquires Competitor for Undisclosed Sum,OpenAI,OpenAI,COMP-A19EE5A9FDC19109,2020-09-24,2020,3,9,Financial Technology,FINTECH,Not disclosed,,False,,invalid_missing,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/25,,2734.0,Data Analytics,2006,"Austin, TX",12793,False,OPEN,14,Medium
ART-424E44825D1CDC82,ART0026,Anthropic Acquires Competitor for Undisclosed Sum,Anthropic,Anthropic,COMP-B780A23B530EF6BB,2023-04-07,2023,2,4,Cloud Computing,CLOUD_COMPUTING,Not disclosed,,False,,invalid_missing,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/26,Jane Doe,921.0,FinTech,2006,"San Francisco, CA",43747,False,,17,Large
ART-20FBDAEFAD8BB2D9,ART0027,Airbnb Releases Open Source Framework,Airbnb,Airbnb,COMP-6D785501E2B59644,2022-04-12,2022,2,4,Cloud Computing,CLOUD_COMPUTING,,,False,,invalid_missing,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/27,,2186.0,Data Analytics,1999,"London, UK",19967,False,,23,Medium
ART-4045B80717A01DFB,ART0028,NVIDIA Expands into European Market,NVIDIA,NVIDIA,COMP-088472395B269710,2020-11-22,2020,4,11,AI & ML,AI_ML,$12.600B,USD,False,12600000000.0,valid,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/28,Alex Johnson,1432.0,AI/ML,2017,"London, UK",22031,False,,3,Medium
ART-EE694255B3A841F7,ART0029,NVIDIA Announces Breakthrough in Large Language Models,NVIDIA,NVIDIA,COMP-088472395B269710,2023-09-13,2023,3,9,Big Data,DATA_ANALYTICS,"€36,818,181,818",EUR,False,40500000000.0,valid,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/29,,2696.0,AI/ML,2017,"London, UK",22031,False,,6,Medium
ART-3F43356397AA1EF0,ART0030,Stripe Announces Breakthrough in Large Language Models,Stripe,Stripe,COMP-4D08EC58743327BA,2020-08-24,2020,3,8,Cloud,CLOUD_COMPUTING,Not disclosed,,False,,invalid_missing,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/30,Alex Johnson,2594.0,Data Analytics,2002,"Seattle, WA",36348,True,STRI,18,Large
ART-EA338A0D4B5EB97C,ART0031,Meta AI CEO Discusses Future of AI,Meta AI,Meta AI,COMP-A5A4E8E5266709E9,2023-03-26,2023,1,3,Financial Technology,FINTECH,"€1,090,909,091",EUR,False,1200000000.0,valid,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/31,John Smith,1852.0,Data Analytics,2001,"Seattle, WA",20240,True,,22,Medium
ART-76C4808521856823,ART0032,DataRobot Acquires Competitor for Undisclosed Sum,DataRobot,DataRobot,COMP-7AD8A9012E991995,2023-09-20,2023,3,9,Finance,FINTECH,Not disclosed,,False,,invalid_missing,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/32,Alex Johnson,1285.0,Cloud Computing,2012,"New York, NY",23471,True,,11,Medium
ART-5BDFAB460CD82297,ART0033,SpaceX Achieves Profitability Milestone,SpaceX,SpaceX,COMP-F4E821747C88DE40,2022-02-15,2022,1,2,Cloud,CLOUD_COMPUTING,$5.000 billion,USD,False,5000000000.0,valid,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/33,Jane Doe,2875.0,AI/ML,2016,"Berlin, Germany",31018,False,,6,Large
ART-04618A496336BEB6,ART0034,DataRobot Achieves Profitability Milestone,DataRobot,DataRobot,COMP-7AD8A9012E991995,2021-10-21,2021,4,10,Security,CYBERSECURITY,$275.0M,USD,False,275000000.0,valid,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/34,,1315.0,Cloud Computing,2012,"New York, NY",23471,True,,9,Medium
ART-5E3383516293B278,ART0035,Microsoft Announces Breakthrough in Large Language Models,Microsoft,Microsoft,COMP-11F3242118FF2ADD,2020-04-04,2020,2,4,InfoSec,CYBERSECURITY,,,False,,invalid_missing,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/35,,2136.0,Data Analytics,2018,"Austin, TX",48646,False,,2,Large
ART-D1480BF6DE268804,ART0036,NVIDIA Launches New AI-Powered Product,NVIDIA,NVIDIA,COMP-088472395B269710,2023-09-05,2023,3,9,AI/ML,AI_ML,$38475.0M - $42525.0M,USD,True,40500000000.0,valid_range,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/36,John Smith,997.0,AI/ML,2017,"London, UK",22031,False,,6,Medium
ART-C47DAD02CC778737,ART0037,Palantir Launches New AI-Powered Product,Palantir,Palantir,COMP-54AADC94970AD31E,2022-08-09,2022,3,8,SaaS,SOFTWARE,Not disclosed,,False,,invalid_missing,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/37,,2635.0,Cloud Computing,2005,"Berlin, Germany",42306,True,,17,Large
ART-BDEC25C707C2C524,ART0038,Cloudflare Achieves Profitability Milestone,Cloudflare,Cloudflare,COMP-A5B966CDCB605CA4,2021-04-05,2021,2,4,Security,CYBERSECURITY,"€563,636,364",EUR,False,620000000.0,valid,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/38,,,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,23,Small
ART-37C2B1D69C1C162E,ART0039,Microsoft Reports Record Revenue Growth,Microsoft,Microsoft,COMP-11F3242118FF2ADD,2022-02-23,2022,1,2,Cloud Computing,CLOUD_COMPUTING,$57950.0M - $64050.0M,USD,True,61000000000.0,valid_range,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/39,Sam Wilson,,Data Analytics,2018,"Austin, TX",48646,False,,4,Large
ART-15E13167F9A88C0E,ART0040,SpaceX CEO Discusses Future of AI,SpaceX,SpaceX,COMP-F4E821747C88DE40,2023-04-11,2023,2,4,AI/ML,AI_ML,$7.600 billion,USD,False,7600000000.0,valid,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/40,Sam Wilson,2736.0,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large
ART-10F277F58785D737,ART0041,DataRobot Reports Record Revenue Growth,DataRobot,DataRobot,COMP-7AD8A9012E991995,2022-09-26,2022,3,9,Financial Technology,FINTECH,"£240,157,480",GBP,False,305000000.0,valid,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/41,Jane Doe,1022.0,Cloud Computing,2012,"New York, NY",23471,True,,10,Medium
ART-CC94D307E1A65771,ART0042,DataRobot Releases Open Source Framework,DataRobot,DataRobot,COMP-7AD8A9012E991995,2020-02-25,2020,1,2,Enterprise Software,SOFTWARE,,,False,,invalid_missing,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/42,Jane Doe,,Cloud Computing,2012,"New York, NY",23471,True,,8,Medium
ART-65F32531D86111D4,ART0043,Uber Acquires Competitor for Undisclosed Sum,Uber,Uber,COMP-F1905B7E8DD98927,2021-03-09,2021,1,3,Data Analytics,DATA_ANALYTICS,Not disclosed,,False,,invalid_missing,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/43,John Smith,2709.0,FinTech,2015,"San Francisco, CA",10144,False,UBER,6,Medium
ART-EDC6E3F3AB62E686,ART0044,Anthropic Acquires Competitor for Undisclosed Sum,Anthropic,Anthropic,COMP-B780A23B530EF6BB,2021-04-04,2021,2,4,Machine Learning,AI_ML,Not disclosed,,False,,invalid_missing,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/44,,1017.0,FinTech,2006,"San Francisco, CA",43747,False,,15,Large
ART-4C00F3E106B342A4,ART0045,Cloudflare Achieves Profitability Milestone,Cloudflare,Cloudflare,COMP-A5B966CDCB605CA4,2020-08-22,2020,3,8,Cloud Services,CLOUD_COMPUTING,$455.0 million,USD,False,455000000.0,valid,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/45,John Smith,1777.0,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,22,Small
ART-E35CC2367F0871EF,ART0046,Confluent Achieves Profitability Milestone,Confluent,Confluent,COMP-65AAA4A1B46C7F71,2022-02-07,2022,1,2,Cloud Services,CLOUD_COMPUTING,$0.600 billion,USD,False,600000000.0,valid,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/46,,2818.0,Cloud Computing,1995,"London, UK",3884,False,,27,Small
ART-E4149CEDB7EE7BDB,ART0047,Anthropic Acquires Competitor for Undisclosed Sum,Anthropic,Anthropic,COMP-B780A23B530EF6BB,2022-12-27,2022,4,12,Analytics,DATA_ANALYTICS,Not disclosed,,False,,invalid_missing,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/47,John Smith,1983.0,FinTech,2006,"San Francisco, CA",43747,False,,16,Large
ART-AEA2C9D944FE033A,ART0048,Scale AI Partners with Major Enterprise Client,Scale AI,Scale AI,COMP-3DA36D688D43678F,2023-12-19,2023,4,12,Cybersecurity,CYBERSECURITY,,,False,,invalid_missing,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/48,,1820.0,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium
ART-E8460B4DA07776E1,ART0049,NVIDIA Raises Series D Funding Round,NVIDIA,NVIDIA,COMP-088472395B269710,2021-07-25,2021,3,7,FinTech,FINTECH,"¥2,400,000,000,000",JPY,False,16000000000.0,valid,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/49,Jane Doe,1953.0,AI/ML,2017,"London, UK",22031,False,,4,Medium
ART-6D3F29AEE23CA8E1,ART0050,Databricks Acquires Competitor for Undisclosed Sum,Databricks,Databricks,COMP-2D3DAD417C3B2CB2,2021-07-26,2021,3,7,Financial Technology,FINTECH,Not disclosed,,False,,invalid_missing,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/50,,2450.0,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,18,Medium
ART-B8952A1003259AB5,ART0051,Scale AI Unveils Next-Generation Platform,Scale AI,Scale AI,COMP-3DA36D688D43678F,2022-10-02,2022,4,10,AI/ML,AI_ML,$0.570 billion,USD,False,570000000.0,valid,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/51,,2767.0,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium
ART-3F0D65C705A4A834,ART0052,MongoDB Acquires Competitor for Undisclosed Sum,MongoDB,MongoDB,COMP-F0C6ACFF24BC7941,2022-05-21,2022,2,5,Software,SOFTWARE,Not disclosed,,False,,invalid_missing,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/52,Jane Doe,1288.0,SaaS,2008,"Austin, TX",16952,False,MONG,14,Medium
ART-6BEB966629606040,ART0053,Stripe Raises Series D Funding Round,Stripe,Stripe,COMP-4D08EC58743327BA,2023-01-02,2023,1,1,Cloud,CLOUD_COMPUTING,2300.0M USD,USD,False,2300000000.0,valid,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/53,,911.0,Data Analytics,2002,"Seattle, WA",36348,True,STRI,21,Large
ART-3C1D374D717F7CAF,ART0054,Tesla Expands into European Market,Tesla,Tesla,COMP-EFD12553D6A4F7E5,2021-04-10,2021,2,4,Cloud,CLOUD_COMPUTING,"$54,000,000,000",USD,False,54000000000.0,valid,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/54,Alex Johnson,1017.0,Cloud Computing,2008,"London, UK",5691,True,,13,Small
ART-5C5339E37B3DBED8,ART0055,Scale AI Partners with Major Enterprise Client,Scale AI,Scale AI,COMP-3DA36D688D43678F,2020-07-29,2020,3,7,Enterprise Software,SOFTWARE,$135.0 million,USD,False,135000000.0,valid,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/55,Alex Johnson,2456.0,AI/ML,2003,"Berlin, Germany",23379,False,,17,Medium
ART-547240DEB0AD14D5,ART0056,Meta AI Raises Series D Funding Round,Meta AI,Meta AI,COMP-A5A4E8E5266709E9,2022-03-31,2022,1,3,Machine Learning,AI_ML,$700.0 million,USD,False,700000000.0,valid,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/56,Alex Johnson,,Data Analytics,2001,"Seattle, WA",20240,True,,21,Medium
ART-560849BDE0E45C00,ART0057,NVIDIA Raises Series D Funding Round,NVIDIA,NVIDIA,COMP-088472395B269710,2023-02-16,2023,1,2,FinTech,FINTECH,Not disclosed,,False,,invalid_missing,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/57,,,AI/ML,2017,"London, UK",22031,False,,6,Medium
ART-C2C2CA72FDC03A92,ART0058,Meta AI Reports Record Revenue Growth,Meta AI,Meta AI,COMP-A5A4E8E5266709E9,2023-05-07,2023,2,5,Financial Technology,FINTECH,$1330.0M - $1470.0M,USD,True,1400000000.0,valid_range,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/58,Jane Doe,,Data Analytics,2001,"Seattle, WA",20240,True,,22,Medium
ART-C50F9CF13C869158,ART0059,Palantir Unveils Next-Generation Platform,Palantir,Palantir,COMP-54AADC94970AD31E,2023-05-01,2023,2,5,Finance,FINTECH,$1.920B,USD,False,1920000000.0,valid,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/59,,1310.0,Cloud Computing,2005,"Berlin, Germany",42306,True,,18,Large
ART-CD5C810F1F85621E,ART0060,SpaceX Raises Series D Funding Round,SpaceX,SpaceX,COMP-F4E821747C88DE40,2023-01-20,2023,1,1,Cloud Computing,CLOUD_COMPUTING,$7000.0 million,USD,False,7000000000.0,valid,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/60,,2831.0,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large
ART-58798D5DD65DAEE9,ART0061,Snowflake Partners with Major Enterprise Client,Snowflake,Snowflake,COMP-FDA76B0BCC1E87CF,2020-09-11,2020,3,9,Finance,FINTECH,730.0M USD,USD,False,730000000.0,valid,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/61,Sam Wilson,2972.0,Cloud Computing,2012,"London, UK",49545,True,,8,Large
ART-4C2B971531A543C6,ART0062,Databricks Announces Breakthrough in Large Language Models,Databricks,Databricks,COMP-2D3DAD417C3B2CB2,2020-06-07,2020,2,6,Enterprise Software,SOFTWARE,,,False,,invalid_missing,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/62,Jane Doe,2285.0,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,17,Medium
ART-FD0194406604F4EB,ART0063,Scale AI Partners with Major Enterprise Client,Scale AI,Scale AI,COMP-3DA36D688D43678F,2020-07-05,2020,3,7,Analytics,DATA_ANALYTICS,,,False,,invalid_missing,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/63,,2753.0,AI/ML,2003,"Berlin, Germany",23379,False,,17,Medium
ART-98B47CA89DCD8BC4,ART0064,Anthropic Partners with Major Enterprise Client,Anthropic,Anthropic,COMP-B780A23B530EF6BB,2020-06-29,2020,2,6,Financial Technology,FINTECH,,,False,,invalid_missing,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/64,Jane Doe,2541.0,FinTech,2006,"San Francisco, CA",43747,False,,14,Large
ART-8DC4445AF9A0FC25,ART0065,Scale AI Partners with Major Enterprise Client,Scale AI,Scale AI,COMP-3DA36D688D43678F,2020-04-15,2020,2,4,Financial Technology,FINTECH,,,False,,invalid_missing,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/65,John Smith,2993.0,AI/ML,2003,"Berlin, Germany",23379,False,,17,Medium
ART-EBC2741F7CBD8223,ART0066,NVIDIA Unveils Next-Generation Platform,NVIDIA,NVIDIA,COMP-088472395B269710,2020-11-20,2020,4,11,Software,SOFTWARE,$12.600B,USD,False,12600000000.0,valid,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/66,John Smith,1130.0,AI/ML,2017,"London, UK",22031,False,,3,Medium
ART-762785527BD6AE44,ART0067,Cloudflare Unveils Next-Generation Platform,Cloudflare,Cloudflare,COMP-A5B966CDCB605CA4,2021-08-20,2021,3,8,Financial Technology,FINTECH,,,False,,invalid_missing,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/67,Jane Doe,2581.0,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,23,Small
ART-74AFD28BE2C1E94B,ART0068,Microsoft Raises Series D Funding Round,Microsoft,Microsoft,COMP-11F3242118FF2ADD,2021-07-19,2021,3,7,Data Analytics,DATA_ANALYTICS,$55.000 billion,USD,False,55000000000.0,valid,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/68,,2505.0,Data Analytics,2018,"Austin, TX",48646,False,,3,Large
ART-61ECFE58AF9910B5,ART0069,Microsoft Partners with Major Enterprise Client,Microsoft,Microsoft,COMP-11F3242118FF2ADD,2023-01-08,2023,1,1,Analytics,DATA_ANALYTICS,$71.000B,USD,False,71000000000.0,valid,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/69,Jane Doe,1456.0,Data Analytics,2018,"Austin, TX",48646,False,,5,Large
ART-1252A1CC588AD92C,ART0070,SpaceX Announces Breakthrough in Large Language Models,SpaceX,SpaceX,COMP-F4E821747C88DE40,2021-10-13,2021,4,10,InfoSec,CYBERSECURITY,$4300.0 million,USD,False,4300000000.0,valid,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/70,,911.0,AI/ML,2016,"Berlin, Germany",31018,False,,5,Large
ART-688824E0612A281E,ART0071,Palantir Raises Series D Funding Round,Palantir,Palantir,COMP-54AADC94970AD31E,2022-12-13,2022,4,12,AI/ML,AI_ML,"¥255,000,000,000",JPY,False,1700000000.0,valid,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/71,Alex Johnson,2128.0,Cloud Computing,2005,"Berlin, Germany",42306,True,,17,Large
